Environments,Algorithms,x1,reward,steps,time,episodes
Cartpolev0,DQN_CRL,-0.05776552,1.0,110,41.57514929771423,6
Cartpolev0,DQN_CRL,-0.07397225,1.0,111,42.02788996696472,6
Cartpolev0,DQN_CRL,-0.08632202,1.0,112,42.476651191711426,6
Cartpolev0,DQN_CRL,-0.10261175,1.0,113,42.90338945388794,6
Cartpolev0,DQN_CRL,-0.018105427,1.0,114,43.24719023704529,7
Cartpolev0,DQN_CRL,-0.013679657,1.0,115,43.678942918777466,7
Cartpolev0,DQN_CRL,-0.01314163,1.0,116,44.107696771621704,7
Cartpolev0,DQN_CRL,-0.008686104,1.0,117,44.52845597267151,7
Cartpolev0,DQN_CRL,-0.008116028,1.0,118,44.93922019004822,7
Cartpolev0,DQN_CRL,-0.0036264414,1.0,119,45.40395402908325,7
Cartpolev0,DQN_CRL,-0.0030195648,1.0,120,45.841702938079834,7
Cartpolev0,DQN_CRL,0.0015091412,1.0,121,46.26146197319031,7
Cartpolev0,DQN_CRL,0.009960007,1.0,122,46.67922234535217,7
Cartpolev0,DQN_CRL,0.022334456,1.0,123,47.12396812438965,7
Cartpolev0,DQN_CRL,0.030835416,1.0,124,47.57071375846863,7
Cartpolev0,DQN_CRL,0.035470877,1.0,125,48.01545739173889,7
Cartpolev0,DQN_CRL,0.036247216,1.0,126,48.39725589752197,7
Cartpolev0,DQN_CRL,0.033168945,1.0,127,48.83198928833008,7
Cartpolev0,DQN_CRL,0.02623857,1.0,128,49.26773810386658,7
Cartpolev0,DQN_CRL,0.02324762,1.0,129,49.73347091674805,7
Cartpolev0,DQN_CRL,0.024195472,1.0,130,50.16622304916382,7
Cartpolev0,DQN_CRL,0.021290947,1.0,131,50.644949436187744,7
Cartpolev0,DQN_CRL,0.014538222,1.0,132,51.067706823349,7
Cartpolev0,DQN_CRL,0.0039394433,1.0,133,51.49846005439758,7
Cartpolev0,DQN_CRL,-0.0027171283,1.0,134,51.938207149505615,7
Cartpolev0,DQN_CRL,-0.005432127,1.0,135,52.38195300102234,7
Cartpolev0,DQN_CRL,-0.0042057694,1.0,136,52.836692094802856,7
Cartpolev0,DQN_CRL,-0.0068246154,1.0,137,53.278440713882446,7
Cartpolev0,DQN_CRL,-0.0054984232,1.0,138,53.68120718002319,7
Cartpolev0,DQN_CRL,0.024911499,1.0,139,54.05499339103699,8
Cartpolev0,DQN_CRL,0.028799405,1.0,140,54.49274253845215,8
Cartpolev0,DQN_CRL,0.02878627,1.0,141,54.91949915885925,8
Cartpolev0,DQN_CRL,0.024873922,1.0,142,55.32326698303223,8
Cartpolev0,DQN_CRL,0.017062468,1.0,143,55.763033866882324,8
Cartpolev0,DQN_CRL,0.0053503285,1.0,144,56.15678882598877,8
Cartpolev0,DQN_CRL,-0.010265592,1.0,145,56.60253286361694,8
Cartpolev0,DQN_CRL,-0.029789535,1.0,146,56.999305963516235,8
Cartpolev0,DQN_CRL,-0.04542261,1.0,147,57.43305706977844,8
Cartpolev0,DQN_CRL,-0.05717386,1.0,148,57.871806621551514,8
Cartpolev0,DQN_CRL,-0.06505141,1.0,149,58.32454705238342,8
Cartpolev0,DQN_CRL,-0.07685934,1.0,150,58.76829290390015,8
Cartpolev0,DQN_CRL,-0.09259892,1.0,151,59.208038568496704,8
Cartpolev0,DQN_CRL,-0.11227151,1.0,152,59.665777921676636,8
Cartpolev0,DQN_CRL,-0.1358777,1.0,153,60.088533878326416,8
Cartpolev0,DQN_CRL,-0.030515589,1.0,154,60.53028130531311,9
Cartpolev0,DQN_CRL,-0.03451699,1.0,155,60.99703240394592,9
Cartpolev0,DQN_CRL,-0.042423222,1.0,156,61.441760301589966,9
Cartpolev0,DQN_CRL,-0.046431065,1.0,157,61.86551547050476,9
Cartpolev0,DQN_CRL,-0.04654405,1.0,158,62.343241453170776,9
Cartpolev0,DQN_CRL,-0.04276402,1.0,159,62.78898549079895,9
Cartpolev0,DQN_CRL,-0.042895287,1.0,160,63.214741706848145,9
Cartpolev0,DQN_CRL,-0.03913197,1.0,161,63.68147397041321,9
Cartpolev0,DQN_CRL,-0.031474225,1.0,162,64.1212215423584,9
Cartpolev0,DQN_CRL,-0.01992045,1.0,163,64.54697799682617,9
Cartpolev0,DQN_CRL,-0.004467438,1.0,164,64.98672795295715,9
Cartpolev0,DQN_CRL,0.0070844195,1.0,165,65.50942730903625,9
Cartpolev0,DQN_CRL,0.022545915,1.0,166,65.95017313957214,9
Cartpolev0,DQN_CRL,0.034116898,1.0,167,66.39891600608826,9
Cartpolev0,DQN_CRL,0.049607005,1.0,168,66.84466004371643,9
Cartpolev0,DQN_CRL,0.06121808,1.0,169,67.27841114997864,9
Cartpolev0,DQN_CRL,0.07675688,1.0,170,67.70816564559937,9
Cartpolev0,DQN_CRL,0.08842909,1.0,171,68.11393404006958,9
Cartpolev0,DQN_CRL,0.10403663,1.0,172,68.52569723129272,9
Cartpolev0,DQN_CRL,0.12358022,1.0,173,68.99042987823486,9
Cartpolev0,DQN_CRL,0.000694304,1.0,174,69.43317651748657,10
